,1,2,3,4,5,6,7,8,9,10
DEMONS,"('Demon Greeter', 4)","('THOUGHTS / aware & examine', 2)","('Deep Down Diver', 2)","('Addiction AMF’r', 2)","('VULNERABILITY / reach out for help', 1)","('VULNERABILITY / Radical self honesty', 1)","('Trigger SOS’r', 1)","('Self Awareness Awakener', 1)","('Scary Stepper', 1)","('SELF HARM / Warnings', 1)"
DENIAL,"('Denial Denyer', 2)","('Delusion Detector', 2)","('VULNERABILITY / mistakes & learning', 1)","('The Deshamer', 1)","('The Deblamer', 1)","('Rainbow Hunter', 1)","('Lost Benefit Lamenter', 1)","('Insanity SOS’r', 1)","('Excuse X’r', 1)","('Excuse Nuker', 1)"
DESPAIR,"('THOUGHTS / positivity', 1)","('New Pattern Painter / grit & progress', 1)","('Misery Minister', 1)","('Inner Motor Motivator', 1)","('Excuse Nuker', 1)","('Emotions Engineer', 1)","('Brain Unchainer', 1)","('Bad Habit Butcher', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)"
EGO,"('Pride Puffer', 4)","('RELATIONSHIPS / Build connections & community', 2)","('Ego X’r', 2)","('Ego Eclipser', 2)","('Arrogance Arrestor', 2)","('Venom Vaporizer', 1)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / reach out for help', 1)","('The Control-aholic', 1)","('Relationship Dedamager', 1)"
EMOTIONS,"('Feelings Felicitizer', 4)","('WAIT AND SWITCH / Emotions', 3)","('RAW SOUL REVEALER / emotions & urges', 3)","('Ill Feelings Illuminator', 3)","('Emotions Elixir', 3)","('Tender Feelings TBH’r', 2)","('Moody MF’r', 2)","('Emotions X-rayer', 2)","('Emotions Emancipator', 2)","('Whole Soul Healer', 1)"
EXCUSES,"('Rationalization Rinser', 5)","('Excuse Exterminator', 4)","('I-Examiner', 3)","('Excuse X’r', 3)","('Self awareness / confidence to admit', 2)","('ADMIT / accountability', 2)","('VULNERABILITY / mistakes & learning', 1)","('VULNERABILITY / listen to others', 1)","('VULNERABILITY / admit', 1)","('The Deblamer', 1)"
FAITH,"('Grace Moonlighter', 2)","('Faith Flooder', 2)","('The Benefisher', 1)","('SELF HARM / Warnings', 1)","('Opportunity Oompher', 1)","('Inner Freedom Forager', 1)","('Higher Power Invoker', 1)","('Gratitude Guru', 1)","('Destiny Diviner', 1)","('Craver Saver / Braver', 1)"
FEAR,"('Progress Pollinator', 1)","('Pink Cloud Clinger', 1)","('Inner Motor Motivator', 1)","('Fear Flusher', 1)","('Ever Evolving Flower', 1)","('Challenge Ninja', 1)","('Braverade', 1)","('Adversity Adventurer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)"
FORGIVENESS,"('Inner Forgiverizer', 2)","('Soul Surgeon', 1)","('Sobriety SOS’r', 1)","('Relationship Redeemer', 1)","('RELATIONSHIPS / Trust & vulnerability', 1)","('Progress Pollinator', 1)","('Manic Moment Forgiver', 1)","('Inner Freedom Forager', 1)","('Bipolar Patroller', 1)","('Wrong Righter', 0)"
FREEDOM,"('The Mindfulizer', 2)","('Black Hole Blesser', 2)","('Urge X’r', 1)","('The Blessifier', 1)","('THOUGHTS / positivity', 1)","('Soul Tuner', 1)","('Soul Survivor', 1)","('Sobriety SOS’r', 1)","('Rainbow Hunter', 1)","('RAW SOUL REVEALER / worthiness', 1)"
FREEDOM / future & growth,"('Self Worth Surfer', 3)","('Ever Evolving Flower', 3)","('Worthy Soul’r', 2)","('The Blessifier', 2)","('Progress Painter', 2)","('Pink Cloud Clinger', 2)","('Opportunity Oompher', 2)","('NEW LIFE / POSSIBILITIES', 2)","('Miracle Embracer', 2)","('Mentality Mender', 2)"
FREEDOM / past & let go,"('NEW LIFE / POSSIBILITIES', 4)","('Inner Freedom Forager', 4)","('The Mindfulizer', 2)","('Symbolic Stepper', 2)","('Serenity Soulmater', 2)","(""Self Control 101'r"", 2)","('Past #2', 2)","('Killer Kickstarter', 2)","('Journey Jazzer', 2)","('Torment Terminator', 1)"
FREEDOM / peace & harmony,"('Ill Feelings Illuminator', 3)","('Emotions Elixir', 3)","('Inner Freedom Forager', 2)","('Beloved BFF’r', 2)","('WAIT AND SWITCH / Progress', 1)","('WAIT AND SWITCH / Emotions', 1)","('Void Avoider', 1)","('Venom Vaporizer', 1)","('Urge Auditor', 1)","('The Mindfulizer', 1)"
FREEDOM / tools & strategies,"('New Pattern Painter / confidence & awareness', 4)","('Self awareness / habits & behavior', 2)","('I-examiner - reactions & behavior', 2)","('Void Avoider', 1)","('Venom Vaporizer', 1)","('Values VIP’r', 1)","('Trigger Transformer', 1)","('Torment Terminator', 1)","('The Wellectrifier', 1)","('The Successcalator', 1)"
GIVING / GENEROSITY,"('RELATIONSHIPS / Build connections & community', 4)","('NEW PATTERN PAINTER / share & learn', 3)","('The Empathologist', 2)","('Metta Motivator', 2)","('Compassion Weaver', 2)","('Wellectricity Generator', 1)","('VULNERABILITY / reach out for help', 1)","('VULNERABILITY / give and receive', 1)","('Peace Pollinator', 1)","('Love Kickstarter', 1)"
GOD / reach out,"('God Grounder', 3)","('Almighty Alchemizer', 2)","('Whole Soul Healer', 1)","('WAIT AND SWITCH / Progress', 1)","('VULNERABILITY / share with god', 1)","('VULNERABILITY / reach out for help', 1)","('Torment Terminator', 1)","('Soul-vation ', 1)","('Soul Survivor', 1)","('SELF HARM ALARMER / remove from situations', 1)"
