,1,2,3,4,5,6,7,8,9,10
EXCUSES,"('INNER MASTERY / beliefs & awareness', 4)","('CONFESSION / denial', 3)","('ACCOUNTABILITY / Own up', 3)","('TRUTH / dark past', 2)","('TRUTH / Admit addiction', 2)","('RESPONSIBILITY', 2)","('INNER / SELF / Inventory', 2)","('WARNINGS / self aware & listen', 1)","('WARNINGS / Avoid triggers', 1)","('VULNERABILITY / Show true self', 1)"
FAITH,"('GOD / thy will', 6)","('HOPE', 3)","('HIGHER POWER / surrender', 3)","('INNER / SELF / beliefs & insight', 2)","('GRATITUDE / opportunities', 2)","('FREEDOM / peace & harmony', 2)","('FREEDOM / future & growth', 2)","('WORTHINESS / new life & future', 1)","('WARNINGS / Relapse & tools', 1)","('VULNERABILITY / learning and mistakes', 1)"
FEAR,"('CHANGE / courage', 2)","('TRIGGERS / awareness', 1)","('RELAPSE', 1)","('RECONCILIATON', 1)","('INNER POWER / Fears & Strength', 1)","('HARDSHIP', 1)","('GOD / reach out', 1)","('COURAGE', 1)","('CONFLICT', 1)","('COMMUNITY / Meetings & groups', 1)"
FORGIVENESS,"('MINDSET / Clear headed', 1)","('INNER POWER / Fears & Strength', 1)","('GUILT', 1)","('CONFIDENCE /  hope & future', 1)","('CONFESSION / damage & hurt', 1)","('COMMUNITY / connection with others', 1)","('CHANGE / self love & true self', 1)","('AMENDS', 1)","('ACCOUNTABILITY / damage confess', 1)","('ACCOUNTABILITY / Own up', 1)"
FREEDOM,"('INNER / SELF / harmony & inner peace', 3)","('MINDSET / Clear headed', 2)","('CHANGE / beliefs', 2)","('WORTHINESS / new life & future', 1)","('URGES / tools & techniques', 1)","('SOBRIETY / costs & benefits', 1)","('SOBRIETY / behavior & action', 1)","('JOY', 1)","('INNER / SELF / beliefs & insight', 1)","('GROWTH / willing to change', 1)"
FREEDOM / future & growth,"('GROWTH / proud', 4)","('WORTHINESS / self love & acceptance', 3)","('WORTHINESS / new life & future', 3)","('SOBRIETY / celebrate & progress', 3)","('INNER / SELF / harmony & inner peace', 2)","('GRATITUDE / opportunities', 2)","('GRATITUDE / for self', 2)","('FAITH', 2)","('CHANGE / self love & true self', 2)","('CHANGE / courage', 2)"
FREEDOM / past & let go,"('CONFIDENCE /  hope & future', 6)","('MINDSET / Future sobriety', 4)","('SERENITY', 3)","('CHANGE / motivations', 3)","('WORTHINESS / new life & future', 2)","('MINDSET', 2)","('INNER / SELF / harmony & inner peace', 2)","('HIGHER POWER / surrender', 2)","('GROWTH / learning & mistakes', 2)","('GRATITUDE / progress & growth', 2)"
FREEDOM / peace & harmony,"('WORTHINESS / new life & future', 3)","('JOY', 3)","('HIGHER POWER / surrender', 3)","('GROWTH / gratitude', 3)","('GRATITUDE / opportunities', 3)","('SOBRIETY / celebrate & progress', 2)","('INNER / SELF / balance', 2)","('INNER / SELF / awareness', 2)","('GRATITUDE / progress & growth', 2)","('GRATITUDE / for self', 2)"
FREEDOM / tools & strategies,"('SOBRIETY / behavior & action', 3)","('MINDSET / Clear headed', 3)","('INNER POWER / Self control & willpower', 3)","('URGES / tools & techniques', 2)","('SOBRIETY / maintaining & will power', 2)","('MINDSET / Future sobriety', 2)","('HIGHER POWER / surrender', 2)","('GROWTH / supporting myself', 2)","('CHANGE / mental confidence', 2)","('ABSTINENCE', 2)"
GIVING / GENEROSITY,"('WORTHINESS / connections & sharing', 4)","('COMMUNITY / connection with others', 4)","('COMMUNITY / sharing', 3)","('EGO', 2)","('VULNERABILITY / Connection', 1)","('PROGRESS / rewards & proud', 1)","('LOVE ', 1)","('INNER / SELF / beliefs & insight', 1)","('GROWTH / motivation & boosts', 1)","('GRATITUDE / progress & growth', 1)"
GOD / reach out,"('VULNERABILITY / to support my sobriety', 3)","('CONFESSION / powerlessness', 3)","('VULNERABILITY / learning and mistakes', 2)","('TRUTH / Admit addiction', 2)","('SERENITY', 2)","('INNER / SELF / harmony & inner peace', 2)","('INNER / SELF / beliefs & insight', 2)","('GROWTH / motivation & boosts', 2)","('WORTHINESS / help', 1)","('PROGRESS / future & hope', 1)"
GOD / thy will,"('FAITH', 6)","('WORTHINESS / new life & future', 2)","('NEGATIVITY', 2)","('HOPE', 2)","('VULNERABILITY / learning and mistakes', 1)","('TRUST', 1)","('TRIGGERS / tools & techniques', 1)","('TRIGGERS / confidence & strength', 1)","('STRESS', 1)","('RECONCILIATON', 1)"
GRATITUDE / for others,"('WORTHINESS / connections & sharing', 3)","('LOVE ', 2)","('WORTHINESS / new life & future', 1)","('TRIGGERS / confidence & strength', 1)","('OPTIMISM', 1)","('MOTIVATION', 1)","('JUDGMENTS', 1)","('INNER MASTERY / tools & processes', 1)","('HOPE', 1)","('GROWTH / proud', 1)"
