,1,2,3,4,5,6,7,8,9,10
DEMONS,"('Demon Greeter', 4)","('Demon Dethroner ', 4)","('Demon Doctor', 3)","('THOUGHTS / aware & examine', 2)","('SELF HARM / Warnings', 2)","('Just One Justifier', 2)","('Inner Winner', 2)","('Deep Down Diver', 2)","('Addiction AMF’r', 2)","('Worthy Soul’r', 1)"
DENIAL,"('Denial Denyer', 2)","('Delusion Detector', 2)","('VULNERABILITY / mistakes & learning', 1)","('The Deshamer', 1)","('The Deblamer', 1)","('Relationship Dedamager', 1)","('Rainbow Hunter', 1)","('Lost Benefit Lamenter', 1)","('Insanity SOS’r', 1)","('Excuse X’r', 1)"
DESPAIR,"('THOUGHTS / positivity', 1)","('SELF HARM / Self honesty & admit', 1)","('RAW SOUL REVEALER / emotions & urges', 1)","('New Pattern Painter / grit & progress', 1)","('Misery Minister', 1)","('Inner Motor Motivator', 1)","('Illogical Looper', 1)","('I-Examiner', 1)","('Excuse Nuker', 1)","('Emotions Engineer', 1)"
EGO,"('Pride Puffer', 5)","('Arrogance Arrestor', 5)","('Ego X’r', 4)","('RELATIONSHIPS / Healthy & supportive', 2)","('RELATIONSHIPS / Build connections & community', 2)","('NEW PATTERN PAINTER / share & learn', 2)","('Judgment Junker', 2)","('Ego Eclipser', 2)","('Ego Eavesdropper', 2)","('Venom Vaporizer', 1)"
EMOTIONS,"('Feelings Felicitizer', 6)","('Ill Feelings Illuminator', 5)","('Emotions Elixir', 5)","('WAIT AND SWITCH / Emotions', 4)","('RAW SOUL REVEALER / emotions & urges', 4)","('Emotions X-rayer', 4)","('Tender Feelings TBH’r', 3)","('Void Avoider', 2)","('Venom Vaporizer', 2)","('The Defuriator', 2)"
EXCUSES,"('Rationalization Rinser', 7)","('Excuse X’r', 5)","('Excuse Exterminator', 5)","('I-Examiner', 4)","('Excuse Nuker', 4)","('VULNERABILITY / listen to others', 2)","('VULNERABILITY / admit', 2)","('Self awareness / confidence to admit', 2)","('Sabotage SOS’r', 2)","('NEW PATTERN PAINTER / admit & amends', 2)"
FAITH,"('Thy Will Be Doner', 5)","('Grace Moonlighter', 5)","('Faith Flooder', 5)","('Higher Power Invoker', 4)","('God Grounder', 4)","('Almighty Alchemizer', 4)","('Cosmic Ray Receiver', 3)","('Gratitude Goosebumper', 2)","('Faith Fertilizer', 2)","('Destiny Diviner', 2)"
FEAR,"('Trigger Transformer', 1)","(""Self Control 101'r"", 1)","('Quarrel Quasher', 1)","('Progress Pollinator', 1)","('Pink Cloud Clinger', 1)","('Panic X’r', 1)","('Panic Mechanic', 1)","('Pain Abstainer', 1)","('Lapse Lessenizer', 1)","('Inner Motor Motivator', 1)"
FORGIVENESS,"('Inner Forgiverizer', 2)","('Soul Surgeon', 1)","('Sobriety SOS’r', 1)","('Responsibility Rippler', 1)","('Relationship Redeemer', 1)","('Relationship Dedamager', 1)","('RELATIONSHIPS / Trust & vulnerability', 1)","('Progress Pollinator', 1)","('Manic Moment Forgiver', 1)","('Inner Freedom Forager', 1)"
FREEDOM,"('The Mindfulizer', 2)","('Sobriety SOS’r', 2)","('Rainbow Hunter', 2)","('Black Hole Blesser', 2)","('Wellectricity Generator', 1)","('Urge X’r', 1)","('Troubles TBH’r', 1)","('The Blessifier', 1)","('THOUGHTS / positivity', 1)","('Soul Tuner', 1)"
